id,flashscore_url,club_domaci,club_hostia,match_date,match_time,match_stadium
114,https://www.flashscore.com/match/football/inter-Iw7eKK25/liverpool-lId4TMwf/?mid=bF5b5fkf,Inter,Liverpool,19.01.2027,21:00,Stadio Giuseppe Meazza (San Siro)
115,https://www.flashscore.com/match/football/lille-pfDZL71o/slovan-bratislava-QRaWdwQf/?mid=pz820C1K,Lille,Slovan Bratislava,19.01.2027,21:00,Stade Pierre-Mauroy
116,https://www.flashscore.com/match/football/lask-linz-MipWYeKQ/real-madrid-W8mj7MDD/?mid=dQ1hWNgA,Real Madrid,LASK,19.01.2027,21:00,Estadio Santiago Bernabéu
117,https://www.flashscore.com/match/football/club-brugge-rgTHIK74/vfb-stuttgart-nJQmYp1B/?mid=dM96oUY1,Stuttgart,Club Brugge KV,19.01.2027,21:00,MHPArena
118,https://www.flashscore.com/match/football/fenerbahce-MsbmracL/villarreal-lUatW5jE/?mid=fXXe3KG8,Fenerbahce,Villarreal,20.01.2027,18:45,Chobani Stadium Fenerbahce Sukru Saracoglu
119,https://www.flashscore.com/match/football/napoli-69Dxbc61/sabah-baku-fNGcxbyr/?mid=vwLGx99D,Sabah Baku,Napoli,20.01.2027,18:45,Bank Respublika Arena
120,https://www.flashscore.com/match/football/arsenal-hA1Zm19f/betis-vJbTeCGP/?mid=Q1aOGcCD,Betis,Arsenal,20.01.2027,21:00,Estadio de La Cartuja
121,https://www.flashscore.com/match/football/como-ttyLthOA/psg-CjhkPw0k/?mid=Uwr24TMj,Como,PSG,20.01.2027,21:00,Mapei Stadium / Stadio Giuseppe Sinigaglia
122,https://www.flashscore.com/match/football/lens-IBmris38/manchester-city-Wtn9Stg0/?mid=QPB3s9J8,Lens,Manchester City,20.01.2027,21:00,Stade Bollaert-Delelis
123,https://www.flashscore.com/match/football/bayern-munich-nVp0wiqd/manchester-united-ppjDR086/?mid=tCUkivlQ,Manchester Utd,Bayern Munich,20.01.2027,21:00,Old Trafford
124,https://www.flashscore.com/match/football/rb-leipzig-KbS1suSm/shakhtar-4ENWX2OA/?mid=vse4cUSk,RB Leipzig,Shakhtar Donetsk,20.01.2027,21:00,Red Bull Arena
125,https://www.flashscore.com/match/football/barcelona-SKbpVP5K/sporting-cp-tljXuHBC/?mid=p6Gmjw2t,Sporting CP,Barcelona,20.01.2027,21:00,Estádio José Alvalade
126,https://www.flashscore.com/match/football/psv-M9UEHJWi/viking-bXAgOWwb/?mid=zo6Q4CzG,Viking,PSV,20.01.2027,21:00,MHPArena
127,https://www.flashscore.com/match/football/arsenal-hA1Zm19f/sabah-baku-fNGcxbyr/?mid=IydGIJs1,Arsenal,Sabah Baku,27.01.2027,21:00,Emirates Stadium
128,https://www.flashscore.com/match/football/as-roma-zVqqL0ma/lille-pfDZL71o/?mid=4QsQSINb,AS Roma,Lille,27.01.2027,21:00,Stadio Olimpico
129,https://www.flashscore.com/match/football/atl-madrid-jaarqpLQ/fenerbahce-MsbmracL/?mid=KQJJrD0U,Atl. Madrid,Fenerbahce,27.01.2027,21:00,Metropolitano Stadium
130,https://www.flashscore.com/match/football/barcelona-SKbpVP5K/como-ttyLthOA/?mid=KQaxqMfD,Barcelona,Como,27.01.2027,21:00,Camp Nou
131,https://www.flashscore.com/match/football/bayern-munich-nVp0wiqd/betis-vJbTeCGP/?mid=fytlXIdf,Bayern Munich,Betis,27.01.2027,21:00,Allianz Arena
132,https://www.flashscore.com/match/football/bodo-glimt-S0WZMUNG/club-brugge-rgTHIK74/?mid=Kb7LfYBF,Club Brugge KV,Bodo/Glimt,27.01.2027,21:00,Jan Breydel Stadion
133,https://www.flashscore.com/match/football/aek-ANpZncAM/dortmund-nP1i5US1/?mid=dt007BeL,Dortmund,AEK Athens,27.01.2027,21:00,Signal Iduna Park
134,https://www.flashscore.com/match/football/feyenoord-8zjySeoN/rb-leipzig-KbS1suSm/?mid=QB6x3BMP,Feyenoord,RB Leipzig,27.01.2027,21:00,De Kuip
135,https://www.flashscore.com/match/football/fc-porto-S2NmScGp/lask-linz-MipWYeKQ/?mid=GSTBES2l,LASK,FC Porto,27.01.2027,21:00,Raiffeisen Arena
136,https://www.flashscore.com/match/football/lens-IBmris38/liverpool-lId4TMwf/?mid=zey4OlEM,Liverpool,Lens,27.01.2027,21:00,Anfield
137,https://www.flashscore.com/match/football/manchester-city-Wtn9Stg0/sporting-cp-tljXuHBC/?mid=GCTNUVZ2,Manchester City,Sporting CP,27.01.2027,21:00,Etihad Stadium
138,https://www.flashscore.com/match/football/napoli-69Dxbc61/viking-bXAgOWwb/?mid=6PM8vVv1,Napoli,Viking,27.01.2027,21:00,Stadio Diego Armando Maradona
139,https://www.flashscore.com/match/football/galatasaray-riaqqurF/psg-CjhkPw0k/?mid=6Dd8FgVi,PSG,Galatasaray,27.01.2027,21:00,Parc des Princes
140,https://www.flashscore.com/match/football/psv-M9UEHJWi/vfb-stuttgart-nJQmYp1B/?mid=zRFWrVDd,PSV,Stuttgart,27.01.2027,21:00,Philips Stadion
141,https://www.flashscore.com/match/football/real-madrid-W8mj7MDD/shakhtar-4ENWX2OA/?mid=zZeWOunp,Shakhtar Donetsk,Real Madrid,27.01.2027,21:00,Stamford Bridge
142,https://www.flashscore.com/match/football/aston-villa-W00wmLO0/slavia-prague-viXGgnyB/?mid=vwTrTRHs,Slavia Prague,Aston Villa,27.01.2027,21:00,Fortuna Arena
143,https://www.flashscore.com/match/football/inter-Iw7eKK25/slovan-bratislava-QRaWdwQf/?mid=AX7jhQXQ,Slovan Bratislava,Inter,27.01.2027,21:00,Tehelné pole
144,https://www.flashscore.com/match/football/manchester-united-ppjDR086/villarreal-lUatW5jE/?mid=M3TDwzxH,Villarreal,Manchester Utd,27.01.2027,21:00,Estadio de la Ceramica
